4535220,/ru/jobs/4535220/,Молодший інтернет-маркетолог,no data available
id,href,title,salary
4600648,/ru/jobs/4600648/,Клиент-менеджер,10000
id,href,title,salary
4600644,/ru/jobs/4600644/,Комплектовщик товаров на склад,11500–14000
id,href,title,salary
4600635,/ru/jobs/4600635/,Web-програміст,no data available
id,href,title,salary
4547080,/ru/jobs/4547080/,Торговий представник з авто,no data available
id,href,title,salary
4600630,/ru/jobs/4600630/,"Провізор, уповноважена особа на аптечний склад",14000
id,href,title,salary
4433679,/ru/jobs/4433679/,Рекрутер,25000
id,href,title,salary
3668923,/ru/jobs/3668923/,"Продавець-консультант (ТЦ ""Даринок"")",13000–15000
id,href,title,salary
4599330,/ru/jobs/4599330/,Бизнес-ассистент руководителя,12000–15000
id,href,title,salary
1490714,/ru/jobs/1490714/,Оператор call-центра,7450–11800
id,href,title,salary
2853742,/ru/jobs/2853742/,"Продавець-консультант (ТРЦ ""Район"", Троєщина)",16000
id,href,title,salary
4600514,/ru/jobs/4600514/,Менеджер з персоналу,no data available
id,href,title,salary
4538398,/ru/jobs/4538398/,Менеджер по организации грузовых перевозок,no data available
id,href,title,salary
4333072,/ru/jobs/4333072/,Бухгалтер (ТОВ),18000–20000
id,href,title,salary
4600481,/ru/jobs/4600481/,"Водій самоскида кат. СЕ м. Київ (вахта, житло)",25000–36000
id,href,title,salary
4448455,/ru/jobs/4448455/,"Водитель автотранспортных средств (1 класс), экспедитор",no data available
id,href,title,salary
3898937,/ru/jobs/3898937/,Менеджер по работе с клиентами в контакт-центр,11000
id,href,title,salary
4600476,/ru/jobs/4600476/,Продавець (ст. м. Позняки),no data available
id,href,title,salary
4600473,/ru/jobs/4600473/,Комплектувальник-вантажник,18000
id,href,title,salary
4156398,/ru/jobs/4156398/,Мастер развал-схождения (Печерск),25000
id,href,title,salary
3085770,/ru/jobs/3085770/,"Комплектувальник-складальник, співробітник складу",14000–20000
id,href,title,salary
4587487,/ru/jobs/4587487/,Бухгалтер,no data available
id,href,title,salary
3813087,/ru/jobs/3813087/,Кладовщик на склад,16000
id,href,title,salary
4600286,/ru/jobs/4600286/,"Продавец-консультант в обувной магазин﻿ (центр, Таирово, Пос. Котовского)",13000–18000
id,href,title,salary
4329695,/ru/jobs/4329695/,"Водитель такси (Uklon, Bolt)",12000–25000
id,href,title,salary
4344589,/ru/jobs/4344589/,Менеджер по продажам (B2B),23000–28000
id,href,title,salary
4501369,/ru/jobs/4501369/,Монтажник рекламных конструкций,25000–30000
id,href,title,salary
4434675,/ru/jobs/4434675/,Слесарь-монтажник конструкций,25000–27000
id,href,title,salary
4564537,/ru/jobs/4564537/,Менеджер по подбору персонала,20000
id,href,title,salary
4578734,/ru/jobs/4578734/,Главный инженер бизнес-центра,no data available
id,href,title,salary
4600215,/ru/jobs/4600215/,Інженер-програміст,no data available
id,href,title,salary
4403467,/ru/jobs/4403467/,Охоронець,8000–10000
id,href,title,salary
4600175,/ru/jobs/4600175/,"Фахівець з оплати праці, пільг та компенсацій (C&B Specialist) у Київ",no data available
id,href,title,salary
4567218,/ru/jobs/4567218/,Продавець-консультант,10000–11000
id,href,title,salary
4511223,/ru/jobs/4511223/,"Адміністратор, оператор квест-кімнати",4000–9000
id,href,title,salary
4443221,/ru/jobs/4443221/,Менеджер по продажам юридических услуг,15000–55000
id,href,title,salary
4057751,/ru/jobs/4057751/,Официант в сырный ресторан,20000–30000
id,href,title,salary
4466967,/ru/jobs/4466967/,"Продавець-консультант (ТРЦ ""Наша Правда"")",no data available
id,href,title,salary
4513809,/ru/jobs/4513809/,Продавець-консультант (ст. м. Позняки),14000–17000
id,href,title,salary
4064508,/ru/jobs/4064508/,Инженер-проектировщик солнечных электростанций,10000–12000
id,href,title,salary
4540727,/ru/jobs/4540727/,Завідувач виробництва,no data available
id,href,title,salary
4541314,/ru/jobs/4541314/,Фінансовий аудитор,no data available
id,href,title,salary
4590774,/ru/jobs/4590774/,Керівник (ІТ),no data available
id,href,title,salary
4540764,/ru/jobs/4540764/,Керівник відділу категорійних менеджерів,no data available
id,href,title,salary
4365403,/ru/jobs/4365403/,Бармен,13500
id,href,title,salary
4490664,/ru/jobs/4490664/,Главный бухгалтер,no data available
id,href,title,salary
4447271,/ru/jobs/4447271/,Продавец-консультант,16000–68300
id,href,title,salary
4536641,/ru/jobs/4536641/,Продавец-консультант,12800–35000
id,href,title,salary
4580118,/ru/jobs/4580118/,"Pre-sale manager (IT, холодные звонки)",no data available
id,href,title,salary
2475777,/ru/jobs/2475777/,Продавец-консультант,9000–11000
id,href,title,salary
4600015,/ru/jobs/4600015/,Рабочий,12000–14000
id,href,title,salary
4247616,/ru/jobs/4247616/,Працівник закладу ресторанного господарства,no data available
id,href,title,salary
3981710,/ru/jobs/3981710/,Продавец-консультант в магазин,20000–35000
id,href,title,salary
3542866,/ru/jobs/3542866/,Портная инд. пошива,17000–25000
id,href,title,salary
3991952,/ru/jobs/3991952/,Оператор оформлення результатів,13000
id,href,title,salary
4599980,/ru/jobs/4599980/,Помощник руководителя,15000
id,href,title,salary
2629652,/ru/jobs/2629652/,Аналитик со знанием английского,13250
id,href,title,salary
4599968,/ru/jobs/4599968/,Менеджер по продажам (международные грузоперевозки),14000–30000
id,href,title,salary
4599965,/ru/jobs/4599965/,"Account Executive, Inside Sales Representative",no data available
id,href,title,salary
4349249,/ru/jobs/4349249/,Продавець (ст. м. Осокорки),10700
id,href,title,salary
4599941,/ru/jobs/4599941/,Комплектувальник товарів,13314
id,href,title,salary
4490090,/ru/jobs/4490090/,"Broker, Dispatcher Assistant",no data available
id,href,title,salary
4456148,/ru/jobs/4456148/,"Администратор торговых точек (ТРЦ ""Мост-Сити"")",25000
id,href,title,salary
4259808,/ru/jobs/4259808/,Senior courier specialist,no data available
id,href,title,salary
4218409,/ru/jobs/4218409/,Экспедитор,no data available
id,href,title,salary
3687575,/ru/jobs/3687575/,"Courier coordinator, Glover Specialist",no data available
id,href,title,salary
717928,/ru/jobs/717928/,Врач-косметолог,no data available
id,href,title,salary
3648335,/ru/jobs/3648335/,"Повар, помощник повара",8500
id,href,title,salary
2316488,/ru/jobs/2316488/,Руководитель архитектурного отдела,no data available
id,href,title,salary
4395999,/ru/jobs/4395999/,Кур'єр на власному авто,15000
id,href,title,salary
4599895,/ru/jobs/4599895/,Бетонщик,20000–35000
id,href,title,salary
4422338,/ru/jobs/4422338/,Спеціаліст з обробки зображень,6000
id,href,title,salary
3351391,/ru/jobs/3351391/,Продавець-консультант техніки Apple,no data available
id,href,title,salary
